Arte Urbana - Munha Carmen Miranda - Beco do Sardinha,-22.89486,-43.11948,"beco, carmen, sardinha",,Centro
Estátua de Inverno,-22.89581,-43.12202,"estátua 2, inverno",Ex,Centro
Igreja Universal do Reino de Deus - Universal do Rink,-22.89611,-43.12112,universal do rink,,Centro
Estátua de Araribóia,-22.8939,-43.12397,"barcas, arariboia, araribóia",,Centro
Rua XV de Novembro - Plaza,-22.89592,-43.12417,plaza,,Centro
Igreja Evangélica do Centro - Frente do Terminal,-22.89101,-43.12368,frente,,Centro
Centro De Atendimento Turistico Da Cidade De Niteró - Atrás do Terminal,-22.8904,-43.12693,"fundos, atrás",,Centro
Salão De Conferencia Niemeyer,-22.88953,-43.12773,salão niemeyer,,Centro
Igreja Universal - Universal da Visconde,-22.89018,-43.12158,"universal da visconde, são joão",,Centro
Praça da República,-22.89379,-43.11705,república,,Centro
Grafite APAE,-22.89511,-43.11649,apae,,Centro
Jesus Graffiti,-22.88587,-43.12484,jesus,,Centro
Correios Visconde do Uruguai,-22.88648,-43.12292,correios da visconde,,Centro
Busto Governador Roberto Silveira,-22.88544,-43.12166,roberto,,Centro
Rodoviária Roberto Silveira,-22.88544,-43.1214,rodoviaria,,Centro
Deusa,-22.88808,-43.11458,deusa,,Centro
General Castrioto,-22.88462,-43.12096,castrioto,,Centro
"Hey Joe, Arte Urbana",-22.89678,-43.12719,"hey joe, canto do rio",,Centro
UFF,-22.89653,-43.12876,"ed. física, educação física, uff",,Centro
Leão Universitário 2 - Universo,-22.88926,-43.11698,"leão, universo",,Centro
Igreja de São Jorge,-22.88978,-43.11767,são jorge,,Centro
Vitrola,-22.88676,-43.11535,vitrola,,Centro
Mona Lisa em Polígonos,-22.8917,-43.11368,monalisa,,Centro
Paróquia de São Domingos,-22.90004,-43.13109,"cantareira, são domingos",,Centro
Ilídio Afonso,-22.89647,-43.12476,ilídio afonso,,Centro
Medusa,-22.90067,-43.12199,medusa,,Ingá
Pedra do Índio,-22.90501,-43.11882,"Pedra do Índio, indio",,Ingá
Paróquia Nossa Senhora das Dores do Ingá,-22.90371,-43.12273,"paróquia, católica do ingá",,Ingá
Museu do Ingá,-22.90369,-43.12538,museu do ingá,,Ingá
Igreja Metodista do Ingá,-22.90322,-43.12657,metodista do ingá,,Ingá
Grafite A Escravidão,-22.90328,-43.12714,escravidão,,Ingá
Niteroi Comtemporary Art Museum,-22.90758,-43.12594,mac,Ex,Ingá
Portal Santos Dumont,-22.90118,-43.13226,santos dumont,,Praia Vermelha
Peixes Coloridos no portão,-22.90147,-43.13138,peixes coloridos,,Praia Vermelha
Grafite Bob Marley,-22.90464,-43.1302,bob marley,,Praia Vermelha
Palhaço Arqueiro,-22.90543,-43.13155,palhaço arqueiro,,Praia Vermelha
Pedro Alvares Cabral,-22.90653,-43.13089,caravela,,Praia Vermelha
Ponte Boa Viagem,-22.90827,-43.13023,ponte boa viagem,,Praia Vermelha
Praia da Boa Viagem,-22.90343,-43.13565,praia boa viagem,,Praia Vermelha
Rio Cricket,-22.89868,-43.11204,Rio Cricket,,Icaraí
Primeira Igreja Batista de Niterói,-22.89374,-43.11292,primeira igreja batista,,Centro
